month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2025-04,Anxiety Disorders,Age,18-34 years,2904
2025-04,Anxiety Disorders,Age,35-64 years,3074
2025-04,Anxiety Disorders,Age,65+ years,2716
2025-04,Anxiety Disorders,Age,All,2566
2025-04,Anxiety Disorders,RaceEthnicity,AI/AN,2859
2025-04,Anxiety Disorders,RaceEthnicity,All,2566
2025-04,Anxiety Disorders,RaceEthnicity,Asian,1547
2025-04,Anxiety Disorders,RaceEthnicity,Black,1639
2025-04,Anxiety Disorders,RaceEthnicity,Hispanic,2014
2025-04,Anxiety Disorders,RaceEthnicity,Multiple/Other,1783
2025-04,Anxiety Disorders,RaceEthnicity,NHOPI,1237
2025-04,Anxiety Disorders,RaceEthnicity,White,3200
2025-04,Anxiety Disorders,Sex,All,2566
2025-04,Anxiety Disorders,Sex,Female,2974
2025-04,Anxiety Disorders,Sex,Male,2062
2025-04,Anxiety Disorders,Total,All,2566
2025-03,Anxiety Disorders,Age,12-17 years,2224
2025-03,Anxiety Disorders,Age,18-34 years,2882
2025-03,Anxiety Disorders,Age,35-64 years,3067
2025-03,Anxiety Disorders,Age,65+ years,2745
2025-03,Anxiety Disorders,Age,All,2552
2025-03,Anxiety Disorders,RaceEthnicity,AI/AN,2754
2025-03,Anxiety Disorders,RaceEthnicity,All,2552
2025-03,Anxiety Disorders,RaceEthnicity,Asian,1507
2025-03,Anxiety Disorders,RaceEthnicity,Black,1622
2025-03,Anxiety Disorders,RaceEthnicity,Hispanic,1973
2025-03,Anxiety Disorders,RaceEthnicity,Multiple/Other,1780
2025-03,Anxiety Disorders,RaceEthnicity,NHOPI,1448
2025-03,Anxiety Disorders,RaceEthnicity,White,3189
2025-03,Anxiety Disorders,Sex,All,2552
2025-03,Anxiety Disorders,Sex,Female,2950
2025-03,Anxiety Disorders,Sex,Male,2059
2025-03,Anxiety Disorders,Total,All,2552
2025-02,Anxiety Disorders,Age,12-17 years,1981
2025-02,Anxiety Disorders,Age,18-34 years,2695
2025-02,Anxiety Disorders,Age,35-64 years,2888
2025-02,Anxiety Disorders,Age,65+ years,2640
2025-02,Anxiety Disorders,Age,All,2398
2025-02,Anxiety Disorders,RaceEthnicity,AI/AN,2585
2025-02,Anxiety Disorders,RaceEthnicity,All,2398
2025-02,Anxiety Disorders,RaceEthnicity,Asian,1391
2025-02,Anxiety Disorders,RaceEthnicity,Black,1507
2025-02,Anxiety Disorders,RaceEthnicity,Hispanic,1866
2025-02,Anxiety Disorders,RaceEthnicity,Multiple/Other,1710
2025-02,Anxiety Disorders,RaceEthnicity,NHOPI,1110
2025-02,Anxiety Disorders,RaceEthnicity,White,2997
2025-02,Anxiety Disorders,Sex,All,2398
2025-02,Anxiety Disorders,Sex,Female,2763
2025-02,Anxiety Disorders,Sex,Male,1952
2025-02,Anxiety Disorders,Total,All,2398
2025-01,Anxiety Disorders,Age,12-17 years,2001
2025-01,Anxiety Disorders,Age,18-34 years,2579
2025-01,Anxiety Disorders,Age,35-64 years,2810
2025-01,Anxiety Disorders,Age,65+ years,2615
2025-01,Anxiety Disorders,Age,All,2335
2025-01,Anxiety Disorders,RaceEthnicity,AI/AN,2579
2025-01,Anxiety Disorders,RaceEthnicity,All,2335
2025-01,Anxiety Disorders,RaceEthnicity,Asian,1356
2025-01,Anxiety Disorders,RaceEthnicity,Black,1437
2025-01,Anxiety Disorders,RaceEthnicity,Hispanic,1809
2025-01,Anxiety Disorders,RaceEthnicity,Multiple/Other,1587
2025-01,Anxiety Disorders,RaceEthnicity,NHOPI,1134
2025-01,Anxiety Disorders,RaceEthnicity,White,2964
2025-01,Anxiety Disorders,Sex,All,2335
2025-01,Anxiety Disorders,Sex,Female,2675
2025-01,Anxiety Disorders,Sex,Male,1918
2025-01,Anxiety Disorders,Total,All,2335
2024-12,Anxiety Disorders,Age,12-17 years,1867
2024-12,Anxiety Disorders,Age,18-34 years,2593
2024-12,Anxiety Disorders,Age,35-64 years,2798
2024-12,Anxiety Disorders,Age,65+ years,2540
2024-12,Anxiety Disorders,Age,All,2273
